# Datetime, equity ($), cash flow ($)
2023-11-03 17:25:26.613846,1107.49,0
2023-11-03 17:30:35.667004,1107.99,0
2023-11-03 17:35:23.420194,1108.95,0
2023-11-03 17:40:22.456866,1105.99,0
2023-11-03 17:45:20.445472,1105.18,0
2023-11-03 17:51:07.330530,1101.4,0
2023-11-03 17:55:46.972966,1103.13,0
2023-11-03 18:00:18.844000,1101.22,0
2023-11-03 18:05:16.145772,1101.47,0
2023-11-03 18:10:45.814218,1102.88,0
2023-11-03 18:15:21.779227,1100.79,0
2023-11-03 18:20:51.520131,1102.09,0
2023-11-03 18:25:13.553414,1099.86,0
2023-11-03 18:30:20.554395,1100.09,0
2023-11-03 18:35:12.642097,1100.07,0
2023-11-03 18:40:18.516515,1100.72,0
2023-11-03 18:45:12.216327,1098.01,0
2023-11-03 18:50:41.501117,1098.01,0
2023-11-03 18:55:19.485979,1097.51,0
2023-11-03 19:00:17.921415,1100.56,0
2023-11-03 19:05:48.129811,1100.12,0
2023-11-03 19:10:20.842194,1098.66,0
2023-11-03 19:15:31.167346,1100.27,0
2023-11-03 19:20:53.307348,1099.94,0
2023-11-03 19:25:15.174688,1101.52,0
2023-11-03 19:30:13.232596,1103.99,0
2023-11-03 19:35:26.706018,1103.28,0
2023-11-03 19:40:18.581355,1105.49,0
2023-11-03 19:45:38.049390,1105.61,0
2023-11-03 19:50:26.791542,1103.88,0
2023-11-03 19:55:24.683578,1102.43,0
2023-11-03 20:00:21.414862,1102.63,0
2023-11-03 20:05:25.310615,1103.08,0
2023-11-03 20:10:17.998974,1100.22,0
2023-11-03 20:15:15.647023,1100.57,0
2023-11-03 20:20:40.637005,1100.27,0
2023-11-03 20:25:21.931709,1099.56,0
2023-11-03 20:30:19.637665,1099.71,0
2023-11-03 20:35:22.192677,1096.9,0
2023-11-03 20:40:23.902705,1098.35,0
2023-11-03 20:45:15.967936,1097.91,0
2023-11-03 20:50:18.266806,1101.22,0
2023-11-03 20:55:39.577204,1103.83,0
2023-11-03 21:03:57.001618,1103.13,0
2023-11-03 21:13:59.204024,1102.43,0
2023-11-03 21:23:44.318468,1103.13,0
2023-11-03 21:33:47.387425,1097.86,0
2023-11-03 21:43:48.251116,1100.37,0
2023-11-03 21:53:49.807235,1101.22,0
2023-11-06 15:03:54.687801,1117.45,0
2023-11-06 15:14:00.985524,1119.86,0
2023-11-06 15:23:51.321073,1118,0
2023-11-06 15:30:27.444488,1124.57,0
2023-11-06 15:35:22.706229,1120.61,0
2023-11-06 15:40:20.083339,1132.67,0
2023-11-06 15:45:11.312419,1114.64,0
2023-11-06 15:50:18.037831,1113.69,0
2023-11-06 15:55:42.494858,1108.88,0
2023-11-06 16:00:20.255570,1108.27,0
2023-11-06 16:05:28.612542,1106.97,0
2023-11-06 16:11:04.566397,1105.16,0
2023-11-06 16:15:16.088904,1100.22,0
2023-11-06 16:20:12.892969,1103.36,0
2023-11-06 16:25:37.405145,1105.82,0
2023-11-06 16:30:19.295074,1109.6,0
2023-11-06 16:36:01.677122,1108.42,0
2023-11-06 16:40:35.135436,1112.88,0
2023-11-06 16:45:55.039371,1109.4,0
2023-11-06 16:50:34.102708,1105.32,0
2023-11-06 16:55:22.947279,1105.67,0
2023-11-06 17:00:31.386923,1102.21,0
2023-11-06 17:05:18.972932,1101.63,0
2023-11-06 17:10:27.193090,1101.63,0
2023-11-06 17:15:20.925193,1101.63,0
2023-11-06 17:20:18.275962,1101.63,0
